2024-05-31T00:28:52.796+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] .M.P.EmployeeManagementPortalApplication : Starting EmployeeManagementPortalApplication using Java 17.0.10 with PID 19244 (C:\Users\LEGION\Desktop\dummy1\Employee-Management-Portal\target\classes started by LEGION in C:\Users\LEGION\Desktop\dummy1\Employee-Management-Portal)
2024-05-31T00:28:52.814+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] .M.P.EmployeeManagementPortalApplication : No active profile set, falling back to 1 default profile: "default"
2024-05-31T00:28:52.884+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-31T00:28:52.884+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-31T00:28:53.913+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-31T00:28:54.028+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 97 ms. Found 4 JPA repository interfaces.
2024-05-31T00:28:54.880+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2024-05-31T00:28:54.895+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-05-31T00:28:54.895+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-31T00:28:54.969+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-05-31T00:28:54.970+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2085 ms
2024-05-31T00:28:55.180+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-31T00:28:55.256+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-31T00:28:55.312+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2024-05-31T00:28:55.652+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-31T00:28:55.702+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2024-05-31T00:28:55.942+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3e5673c1
2024-05-31T00:28:55.944+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2024-05-31T00:28:57.216+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-31T00:28:57.318+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-31T00:28:57.918+05:30  WARN 19244 --- [Employee-Management-Portal] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-31T00:28:58.250+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@685ba44b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7145feac, org.springframework.security.web.context.SecurityContextHolderFilter@6da2da41, org.springframework.security.web.header.HeaderWriterFilter@62fa1247, org.springframework.web.filter.CorsFilter@3a882c6a, org.springframework.security.web.authentication.logout.LogoutFilter@7a863255, com.employee.Employee.Management.Portal.config.JwtTokenValidator@6c9529fb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@22ec022e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7f6b6d4a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@59d9a1de, org.springframework.security.web.session.SessionManagementFilter@71483c66, org.springframework.security.web.access.ExceptionTranslationFilter@1fe38836, org.springframework.security.web.access.intercept.AuthorizationFilter@2c86a02c]
2024-05-31T00:28:58.488+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2024-05-31T00:28:58.520+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path ''
2024-05-31T00:28:58.530+05:30  INFO 19244 --- [Employee-Management-Portal] [restartedMain] .M.P.EmployeeManagementPortalApplication : Started EmployeeManagementPortalApplication in 6.369 seconds (process running for 6.993)
2024-05-31T00:29:02.485+05:30  INFO 19244 --- [Employee-Management-Portal] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-31T00:29:02.485+05:30  INFO 19244 --- [Employee-Management-Portal] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-05-31T00:29:02.486+05:30  INFO 19244 --- [Employee-Management-Portal] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-05-31T00:29:02.644+05:30  INFO 19244 --- [Employee-Management-Portal] [http-nio-8080-exec-2] c.e.E.M.P.controller.AdminController     : Started get all projects controller
2024-05-31T00:29:02.897+05:30  INFO 19244 --- [Employee-Management-Portal] [http-nio-8080-exec-2] c.e.E.M.P.controller.AdminController     : Ended get all projects controller
2024-05-31T00:29:51.714+05:30  INFO 19244 --- [Employee-Management-Portal] [http-nio-8080-exec-4] c.e.E.M.P.controller.AdminController     : Started get all employees controller
2024-05-31T00:29:51.737+05:30  INFO 19244 --- [Employee-Management-Portal] [http-nio-8080-exec-4] c.e.E.M.P.controller.AdminController     : Ended get all employees controller
2024-05-31T00:31:16.574+05:30  INFO 19244 --- [Employee-Management-Portal] [http-nio-8080-exec-6] c.e.E.M.P.controller.AdminController     : Started get all employees controller
2024-05-31T00:31:16.590+05:30  INFO 19244 --- [Employee-Management-Portal] [http-nio-8080-exec-6] c.e.E.M.P.controller.AdminController     : Ended get all employees controller
2024-05-31T00:31:23.535+05:30  INFO 19244 --- [Employee-Management-Portal] [http-nio-8080-exec-8] c.e.E.M.P.controller.AdminController     : Started get all employees controller
2024-05-31T00:31:23.551+05:30  INFO 19244 --- [Employee-Management-Portal] [http-nio-8080-exec-8] c.e.E.M.P.controller.AdminController     : Ended get all employees controller
